task_id,profession,letter_type,classification_method,is_canonical,task_title,pdf_filename,source_path,file_bytes,asset_role,ai_confidence,review_flag,pending_review,import_status,source_id,case_note_text,notes
W-0001,medicine,routine_referral,convention-parser-regex,yes,1- Routine Referral ( Mr Zach Foster ),Mr Zach Foster.pdf,OET Materials & Videos Data/Writing/Medicine/Arabic/December Batch/Workshops/Workshop Case Notes/1- Routine Referral ( Mr Zach Foster )/Mr Zach Foster.pdf,473022,CaseNotes-candidate,,,no,prepared-filesystem,4756888e9a74,,
W-0002,medicine,urgent_referral,convention-parser-regex,yes,2- Urgent Referral ( Joshua Vance ),Joshua Vance.jpeg,OET Materials & Videos Data/Writing/Medicine/Arabic/December Batch/Workshops/Workshop Case Notes/2- Urgent Referral ( Joshua Vance )/Joshua Vance.jpeg,107849,Supplementary,,,no,prepared-filesystem,b6e7fdbb936c,,
W-0003,medicine,update_discharge,importer-hint-map,yes,3- Discharge Letter ( Mrs Sylvia Meadows ),Mrs Sylvia Meadows.pdf,OET Materials & Videos Data/Writing/Medicine/Arabic/December Batch/Workshops/Workshop Case Notes/3- Discharge Letter ( Mrs Sylvia Meadows )/Mrs Sylvia Meadows.pdf,284328,CaseNotes-candidate,,,no,prepared-filesystem,caf3cdcb4007,,
W-0004,medicine,routine_referral,convention-parser-regex,yes,Workshops_ Case Notes,1- Mr James Seymour ( Routine Referral ).pdf,OET Materials & Videos Data/Writing/Medicine/Arabic/February Batch/Workshops/Workshops_ Case Notes/1- Mr James Seymour ( Routine Referral ).pdf,516244,CaseNotes-candidate,,,no,prepared-filesystem,ae702550dc4b,,
W-0005,medicine,urgent_referral,convention-parser-regex,yes,Workshops_ Case Notes,2-Mr David Thorne ( Urgent Referral ) - Case Notes.pdf,OET Materials & Videos Data/Writing/Medicine/Arabic/February Batch/Workshops/Workshops_ Case Notes/2-Mr David Thorne ( Urgent Referral ) - Case Notes.pdf,186677,CaseNotes,,,no,prepared-filesystem,ab7552944fe6,,
W-0006,medicine,routine_referral,convention-parser-regex,yes,Case Notes,Mr James Greenbaum - Case Notes ( Routine Referral to an Orthopaedic ).pdf,OET Materials & Videos Data/Writing/Medicine/English/Workshops/Case Notes/Mr James Greenbaum - Case Notes ( Routine Referral to an Orthopaedic ).pdf,1170490,CaseNotes,,,no,prepared-filesystem,a269e8358f7a,,
W-0007,medicine,Other,fallback-other,no,Corrected Letters,Mr James Greenbaum.pdf,OET Materials & Videos Data/Writing/Medicine/English/Workshops/Corrected Letters/Mr James Greenbaum.pdf,68026,CaseNotes-candidate,,needs_review,yes,prepared-filesystem,42da936e3ba9,,unclassified by deterministic rules; requires admin review before publish
W-0008,medicine,routine_referral,canonical-folder-map,yes,Writing 1 ( Routine Referral ),Ms Sarah Miller - Answer Sheet ( Routine Referral to a Dermatologist ).pdf,OET with Dr. Ahmed Hesham ( Medicine Only )/Writing_/Writing 1 ( Routine Referral )/Ms Sarah Miller - Answer Sheet ( Routine Referral to a Dermatologist ).pdf,614850,ModelAnswer,,,no,prepared-filesystem,688d195ffa62,,
W-0009,medicine,routine_referral,canonical-folder-map,yes,Writing 1 ( Routine Referral ),Ms Sarah Miller - Case Notes ( Routine Referral to Dermatologist..Pt with Acne & Rosacea ).pdf,OET with Dr. Ahmed Hesham ( Medicine Only )/Writing_/Writing 1 ( Routine Referral )/Ms Sarah Miller - Case Notes ( Routine Referral to Dermatologist..Pt with Acne & Rosacea ).pdf,629048,CaseNotes,,,no,prepared-filesystem,3d8b15bd98a9,,
W-0010,medicine,non_medical_referral,canonical-folder-map,yes,Writing 2 ( Referral to non medical profession as occupational therapist - manager of human supportive scheme - psychologist - radiographer ),Arthur Miller ( Human Scheme manager ) Case Notes .pdf,OET with Dr. Ahmed Hesham ( Medicine Only )/Writing_/Writing 2 ( Referral to non medical profession as occupational therapist - manager of human supportive scheme - psychologist - radiographer )/Arthur Miller ( Human Scheme manager ) Case Notes .pdf,208637,CaseNotes,,,no,prepared-filesystem,95a33386f917,,
