scenarioId,profession,letterType,rulebookVersion,finalStatus
MATRIX-medicine-LT-RR,medicine,LT-RR,medicine-routine_referral-v1,PASS
MATRIX-medicine-LT-UR,medicine,LT-UR,medicine-other-v1 (fallback),PASS
MATRIX-medicine-LT-DG,medicine,LT-DG,medicine-other-v1 (fallback),PASS
MATRIX-medicine-LT-TR,medicine,LT-TR,medicine-transfer-v1,PASS
MATRIX-medicine-LT-NM,medicine,LT-NM,medicine-other-v1 (fallback),PASS
MATRIX-medicine-LT-OT,medicine,LT-OT,medicine-other-v1,PASS
MATRIX-nursing-LT-RR,nursing,LT-RR,nursing-routine_referral-v1,PASS
MATRIX-nursing-LT-UR,nursing,LT-UR,nursing-other-v1 (fallback),PASS
MATRIX-nursing-LT-DG,nursing,LT-DG,nursing-other-v1 (fallback),PASS
MATRIX-nursing-LT-TR,nursing,LT-TR,nursing-transfer-v1,PASS
MATRIX-nursing-LT-NM,nursing,LT-NM,nursing-other-v1 (fallback),PASS
MATRIX-nursing-LT-OT,nursing,LT-OT,nursing-other-v1,PASS
MATRIX-dentistry-LT-RR,dentistry,LT-RR,dentistry-routine_referral-v1,PASS
MATRIX-dentistry-LT-UR,dentistry,LT-UR,dentistry-other-v1 (fallback),PASS
MATRIX-dentistry-LT-DG,dentistry,LT-DG,dentistry-other-v1 (fallback),PASS
MATRIX-dentistry-LT-TR,dentistry,LT-TR,dentistry-transfer-v1,PASS
MATRIX-dentistry-LT-NM,dentistry,LT-NM,dentistry-other-v1 (fallback),PASS
MATRIX-dentistry-LT-OT,dentistry,LT-OT,dentistry-other-v1,PASS
MATRIX-pharmacy-LT-RR,pharmacy,LT-RR,pharmacy-routine_referral-v1,PASS
MATRIX-pharmacy-LT-UR,pharmacy,LT-UR,pharmacy-other-v1 (fallback),PASS
MATRIX-pharmacy-LT-DG,pharmacy,LT-DG,pharmacy-other-v1 (fallback),PASS
MATRIX-pharmacy-LT-TR,pharmacy,LT-TR,pharmacy-transfer-v1,PASS
MATRIX-pharmacy-LT-NM,pharmacy,LT-NM,pharmacy-other-v1 (fallback),PASS
MATRIX-pharmacy-LT-OT,pharmacy,LT-OT,pharmacy-other-v1,PASS
MATRIX-physiotherapy-LT-RR,physiotherapy,LT-RR,physiotherapy-routine_referral-v1,PASS
MATRIX-physiotherapy-LT-UR,physiotherapy,LT-UR,physiotherapy-other-v1 (fallback),PASS
MATRIX-physiotherapy-LT-DG,physiotherapy,LT-DG,physiotherapy-other-v1 (fallback),PASS
MATRIX-physiotherapy-LT-TR,physiotherapy,LT-TR,physiotherapy-transfer-v1,PASS
MATRIX-physiotherapy-LT-NM,physiotherapy,LT-NM,physiotherapy-other-v1 (fallback),PASS
MATRIX-physiotherapy-LT-OT,physiotherapy,LT-OT,physiotherapy-other-v1,PASS
MATRIX-veterinary-LT-RR,veterinary,LT-RR,veterinary-routine_referral-v1,PASS
MATRIX-veterinary-LT-UR,veterinary,LT-UR,veterinary-other-v1 (fallback),PASS
MATRIX-veterinary-LT-DG,veterinary,LT-DG,veterinary-other-v1 (fallback),PASS
MATRIX-veterinary-LT-TR,veterinary,LT-TR,veterinary-transfer-v1,PASS
MATRIX-veterinary-LT-NM,veterinary,LT-NM,veterinary-other-v1 (fallback),PASS
MATRIX-veterinary-LT-OT,veterinary,LT-OT,veterinary-other-v1,PASS
MATRIX-optometry-LT-RR,optometry,LT-RR,optometry-routine_referral-v1,PASS
MATRIX-optometry-LT-UR,optometry,LT-UR,optometry-other-v1 (fallback),PASS
MATRIX-optometry-LT-DG,optometry,LT-DG,optometry-other-v1 (fallback),PASS
MATRIX-optometry-LT-TR,optometry,LT-TR,optometry-transfer-v1,PASS
MATRIX-optometry-LT-NM,optometry,LT-NM,optometry-other-v1 (fallback),PASS
MATRIX-optometry-LT-OT,optometry,LT-OT,optometry-other-v1,PASS
MATRIX-radiography-LT-RR,radiography,LT-RR,radiography-routine_referral-v1,PASS
MATRIX-radiography-LT-UR,radiography,LT-UR,radiography-other-v1 (fallback),PASS
MATRIX-radiography-LT-DG,radiography,LT-DG,radiography-other-v1 (fallback),PASS
MATRIX-radiography-LT-TR,radiography,LT-TR,radiography-transfer-v1,PASS
MATRIX-radiography-LT-NM,radiography,LT-NM,radiography-other-v1 (fallback),PASS
MATRIX-radiography-LT-OT,radiography,LT-OT,radiography-other-v1,PASS
MATRIX-occupational_therapy-LT-RR,occupational_therapy,LT-RR,occupational_therapy-routine_referral-v1,PASS
MATRIX-occupational_therapy-LT-UR,occupational_therapy,LT-UR,occupational_therapy-other-v1 (fallback),PASS
